time,open,high,low,close
2010-08-23 07:00:00,1966.45165588,1972.13730873,1956.06063517,1956.06063517
2010-08-24 07:00:00,1958.21726211,1958.21726211,1932.33773882,1941.94453156
2010-08-25 07:00:00,1939.78287502,1940.9668727,1900.11895255,1909.78826698
2010-08-26 07:00:00,1909.78826698,1925.77223574,1909.78826698,1916.69492015
2010-08-27 07:00:00,1915.70825541,1932.48155595,1910.18293287,1932.48155595
2010-08-31 07:00:00,1910.18293287,1949.05752355,1910.18293287,1949.05752355
2010-09-01 07:00:00,1958.92417093,1992.27343908,1949.2548565,1989.51077781
2010-09-02 07:00:00,1983.59078939,2002.92941825,1982.60412465,1994.04943561
2010-09-03 07:00:00,2002.53475236,2027.20137081,1996.41743098,2012.59873268
2010-09-06 07:00:00,2015.95339279,2033.31869218,2015.95339279,2022.66271301
2010-09-07 07:00:00,2015.75605985,2020.68938354,2012.79606563,2015.5587269
2010-09-08 07:00:00,2010.42807026,2012.79606563,1995.43076624,2004.70541478
2010-09-09 07:00:00,2007.46807605,2033.31869218,2007.46807605,2026.01737312
2010-09-10 07:00:00,2023.05737891,2039.63334651,2023.05737891,2035.48935461
2010-09-13 07:00:00,2054.23598463,2078.31060424,2054.23598463,2078.31060424
2010-09-14 07:00:00,2083.63859382,2085.21725741,2069.23328865,2078.31060424
2010-09-15 07:00:00,2064.29996496,2065.87862854,2048.3159962,2050.68399157
2010-09-16 07:00:00,2038.64668177,2051.27599042,2038.05468293,2046.34266673
2010-09-17 07:00:00,2057.19597884,2060.15597306,2039.43601356,2044.5666702
2010-09-20 07:00:00,2052.26265515,2080.08660077,2051.86798926,2080.08660077
2010-09-21 07:00:00,2077.52127245,2087.58525278,2073.96927939,2073.96927939
2010-09-22 07:00:00,2076.73194066,2076.92927361,2062.52396843,2071.79861697
2010-09-23 07:00:00,2080.08660077,2083.63859382,2052.26265515,2070.41728633
2010-09-24 07:00:00,2068.04929096,2077.3239395,2064.8919638,2070.02262044
2010-09-27 07:00:00,2071.00928518,2091.72924468,2066.07596149,2069.62795454
2010-09-28 07:00:00,2063.31330022,2083.44126088,2055.81464821,2083.44126088
2010-09-29 07:00:00,2092.32124352,2107.31854754,2087.78258572,2096.26790247
2010-09-30 07:00:00,2089.95324815,2120.73718798,2083.63859382,2107.71321343
2010-10-01 07:00:00,2121.32918682,2127.24917525,2116.19853018,2121.72385271
2010-10-04 07:00:00,2133.95849547,2134.35316136,2117.57986081,2117.57986081
2010-10-05 07:00:00,2121.32918682,2141.06248158,2121.32918682,2140.27314979
2010-10-06 07:00:00,2149.74513127,2164.74243529,2149.74513127,2161.97977403
2010-10-07 07:00:00,2153.69179023,2158.62511392,2133.76116252,2135.53715905
2010-10-08 07:00:00,2140.27314979,2142.64114516,2122.9078504,2142.64114516
2010-10-11 07:00:00,2158.62511392,2158.62511392,2149.74513127,2158.42778097
2010-10-12 07:00:00,2127.84117409,2159.21711276,2127.84117409,2156.25711855
2010-10-13 07:00:00,2166.12376593,2199.07836818,2166.12376593,2199.07836818
2010-10-14 07:00:00,2192.36904796,2192.36904796,2176.7797451,2178.55574163
2010-10-15 07:00:00,2180.33173815,2180.5290711,2156.65178444,2165.72910003
2010-10-18 07:00:00,2159.41444571,2177.96374278,2157.44111623,2170.85975667
2010-10-19 07:00:00,2216.64100051,2216.64100051,2158.62511392,2161.19044224
2010-10-20 07:00:00,2160.99310929,2169.67575898,2154.87578791,2162.76910582
2010-10-21 07:00:00,2185.0677289,2193.75037859,2178.16107573,2189.2117208
2010-10-22 07:00:00,2175.39841446,2191.77704912,2175.39841446,2181.71306879
2010-10-25 07:00:00,2203.41969302,2218.2196641,2203.02502713,2204.01169187
2010-10-26 07:00:00,2191.18505027,2197.4997046,2170.66242372,2173.62241794
2010-10-27 07:00:00,2164.54510235,2164.54510235,2142.64114516,2142.83847811
2010-10-28 07:00:00,2160.79577634,2167.11043066,2143.03581106,2144.41714169
2010-10-29 07:00:00,2140.27314979,2148.56113359,2132.37983188,2138.29982031
2010-11-01 08:00:00,2163.75577055,2173.42508499,2156.45445149,2163.16377171
2010-11-02 08:00:00,2163.16377171,2190.39571848,2163.16377171,2187.04105837
2010-11-03 08:00:00,2194.14504449,2194.34237743,2177.96374278,2180.13440521
2010-11-04 08:00:00,2200.85436471,2221.17965831,2200.85436471,2215.06233693
2010-11-05 08:00:00,2224.33698547,2226.70498084,2207.76101787,2222.56098894
2010-11-08 08:00:00,2221.9689901,2228.28364442,2218.02233115,2220.98232536
2010-11-09 08:00:00,2226.112982,2242.6889496,2221.9689901,2241.70228486
2010-11-10 08:00:00,2243.28094844,2243.28094844,2209.14234851,2210.32634619
2010-11-11 08:00:00,2211.70767682,2216.44366757,2191.77704912,2192.17171501
2010-11-12 08:00:00,2164.74243529,2181.31840289,2155.86245265,2161.19044224
2010-11-15 08:00:00,2154.87578791,2168.68909424,2146.19313822,2168.68909424
2010-11-16 08:00:00,2146.58780411,2153.09979138,2134.15582841,2134.55049431
2010-11-17 08:00:00,2131.59050009,2142.44381221,2126.45984346,2135.14249315
2010-11-18 08:00:00,2163.9531035,2176.18774625,2160.40111045,2175.20108152
2010-11-19 08:00:00,2146.39047116,2170.66242372,2146.39047116,2170.66242372
2010-11-22 08:00:00,2193.75037859,2193.75037859,2157.04645034,2160.79577634
2010-11-23 08:00:00,2146.98247001,2146.98247001,2114.42253365,2115.21186544
2010-11-24 08:00:00,2124.93521134,2165.12170732,2124.93521134,2162.54818787
2010-11-25 08:00:00,2171.45652442,2179.17708277,2163.73596608,2176.00967421
2010-11-26 08:00:00,2152.45207312,2159.18281629,2134.04151092,2157.79707505
2010-11-29 08:00:00,2169.47689408,2179.9689349,2143.54373657,2148.09688636
2010-11-30 08:00:00,2173.0402287,2173.0402287,2148.09688636,2149.87855367
2010-12-01 08:00:00,2175.41578511,2211.84098344,2175.41578511,2202.14079476
2010-12-02 08:00:00,2217.97783751,2254.99692494,2216.59209627,2249.65192301
2010-12-03 08:00:00,2234.80469543,2244.10895805,2219.16561572,2235.59654757
2010-12-06 08:00:00,2231.63728688,2255.98674012,2228.2719153,2237.37821488
2010-12-07 08:00:00,2244.70284715,2255.59081405,2233.22099116,2235.59654757
2010-12-08 08:00:00,2224.31265461,2225.10450675,2203.72449903,2204.91227724
2010-12-09 08:00:00,2221.54117213,2223.52080247,2207.28783365,2208.47561186
2010-12-10 08:00:00,2207.28783365,2207.28783365,2195.80597766,2197.38968193
2010-12-13 08:00:00,2210.4552422,2225.10450675,2210.4552422,2213.22672468
2010-12-14 08:00:00,2217.18598537,2236.58636274,2211.84098344,2235.39858454
2010-12-15 08:00:00,2216.1961702,2241.73340164,2216.1961702,2236.38839971
2010-12-16 08:00:00,2226.49024799,2226.88617406,2215.20635503,2221.9370982
2010-12-17 08:00:00,2224.11469158,2242.32729074,2224.11469158,2238.36803005
2010-12-20 08:00:00,2233.61691723,2241.13951253,2225.30246978,2237.77414095
2010-12-21 08:00:00,2264.69711363,2274.00137625,2238.96191916,2272.81359804
2010-12-22 08:00:00,2259.15414867,2289.2445299,2258.7582226,2287.06693652
2010-12-23 08:00:00,2287.66082562,2291.02619721,2283.10767583,2283.10767583
2010-12-24 08:00:00,2287.26489955,2297.55897734,2260.73785294,2275.58508052
2010-12-29 08:00:00,2304.28972051,2313.19805706,2303.89379444,2313.19805706
2010-12-30 08:00:00,2307.25916603,2335.96380602,2307.25916603,2334.57806478
2010-12-31 08:00:00,2368.82566973,2368.82566973,2312.60416796,2324.08602395
2011-01-04 08:00:00,2357.7397398,2357.7397398,2330.42084105,2334.97399084
2011-01-05 08:00:00,2334.18213871,2361.30307442,2320.12676326,2361.30307442
2011-01-06 08:00:00,2345.0701056,2357.34381373,2330.61880409,2330.61880409
2011-01-07 08:00:00,2324.87787609,2333.98417567,2301.51823803,2301.51823803
2011-01-10 08:00:00,2296.37119913,2296.37119913,2265.88489184,2265.88489184
2011-01-11 08:00:00,2301.71620106,2302.5080532,2291.02619721,2291.02619721
2011-01-12 08:00:00,2317.35528078,2329.03509981,2317.35528078,2326.46158036
2011-01-13 08:00:00,2316.16750258,2317.35528078,2293.40175362,2297.16305127
2011-01-14 08:00:00,2305.67546175,2306.66527692,2276.77285873,2289.64045596
2011-01-17 08:00:00,2280.73211942,2280.73211942,2269.44822646,2273.80341321
2011-01-18 08:00:00,2280.53415638,2280.53415638,2267.86452218,2272.0217459
2011-01-19 08:00:00,2282.9097128,2286.07712135,2263.90526149,2268.45841128
2011-01-20 08:00:00,2258.56025956,2258.56025956,2218.37376358,2218.37376358
2011-01-21 08:00:00,2223.1248764,2238.36803005,2219.95746785,2219.95746785
2011-01-24 08:00:00,2225.30246978,2225.30246978,2211.64302041,2223.91672854
2011-01-25 08:00:00,2230.84543475,2247.07840357,2230.84543475,2233.02302812
2011-01-26 08:00:00,2257.57044439,2257.96637046,2240.9415495,2241.13951253
2011-01-27 08:00:00,2245.29673626,2245.29673626,2234.0128433,2236.58636274
2011-01-28 08:00:00,2222.33302427,2233.81488026,2200.75505352,2200.75505352
2011-01-31 08:00:00,2181.55263918,2216.98802234,2169.27893104,2169.27893104
2011-02-01 08:00:00,2189.27319752,2193.82634731,2172.24837656,2189.27319752
2011-02-02 08:00:00,2199.76523834,2202.93264689,2190.46097573,2201.54690565
2011-02-03 08:00:00,2213.22672468,2213.22672468,2180.36486097,2183.13634345
2011-02-04 08:00:00,2193.43042124,2208.47561186,2187.68949324,2191.84671697
2011-02-07 08:00:00,2180.76078704,2193.43042124,2179.57300883,2190.26301269
2011-02-08 08:00:00,2175.21782208,2191.4507909,2175.01985904,2180.76078704
2011-02-09 08:00:00,2162.15226181,2162.15226181,2141.36614319,2141.36614319
2011-02-10 08:00:00,2111.27576196,2115.63094872,2098.01223866,2111.67168803
2011-02-11 08:00:00,2091.87538459,2134.83336306,2087.52019783,2131.27002844
2011-02-14 08:00:00,2142.52066361,2152.06564928,2131.27002844,2143.54373657
2011-02-15 08:00:00,2144.13762567,2147.30503423,2120.04164431,2120.97595065
2011-02-16 08:00:00,2126.91484168,2157.59911201,2123.64845161,2147.99790485
2011-02-17 08:00:00,2151.85818402,2153.44188829,2132.45780664,2140.37632802
2011-02-18 08:00:00,2155.61948167,2157.00522291,2140.77225409,2152.3530916
2011-02-21 08:00:00,2153.63985133,2158.66819159,2132.85373271,2132.85373271
2011-02-22 08:00:00,2119.19428334,2128.10261989,2103.15927755,2117.41261603
2011-02-23 08:00:00,2110.17151676,2110.56790476,2079.25325278,2092.53225077
2011-02-24 08:00:00,2073.50562678,2102.83833877,2070.53271679,2098.08168277
2011-02-25 08:00:00,2114.72997876,2137.72048275,2114.72997876,2124.63967875
2011-02-28 08:00:00,2098.67626477,2130.47688844,2096.29793677,2114.53178476
2011-03-01 08:00:00,2139.70242275,2139.70242275,2109.57693476,2109.57693476
2011-03-02 08:00:00,2107.00041276,2123.45051475,2097.88348877,2120.67579876
2011-03-03 08:00:00,2134.15299075,2161.90015073,2128.80175275,2161.90015073
